EB_T (K),EB_((m0-m)/(m0-mf))
422.879,0.091108836
423.045,0.091127768
423.2156667,0.091145077
423.385,0.091160763
423.5493333,0.091174827
423.7183333,0.091191055
423.8853333,0.091200791
424.0526667,0.091209987
424.2193333,0.091221887
424.3846667,0.091232705
424.5593333,0.091244605
424.7256667,0.091255423
424.8966667,0.091266783
425.065,0.091286796
425.2353333,0.091305728
425.4016667,0.091323038
425.5743333,0.091338724
425.7383333,0.091359279
425.9046667,0.091375506
426.0693333,0.091391193
426.2386667,0.091407961
426.4123333,0.091423107
426.5793333,0.091439875
426.7486667,0.091453398
426.9133333,0.091466921
427.0846667,0.091480984
427.2543333,0.091495048
427.4186667,0.091511817
427.5883333,0.091527503
427.7566667,0.09154373
427.9263333,0.091560499
428.0913333,0.091575103
428.2686667,0.091590249
428.432,0.091605936
428.6013333,0.091619999
428.773,0.091637849
428.945,0.091654618
429.1083333,0.091672468
429.272,0.091695727
429.446,0.091713037
429.617,0.091729264
429.7816667,0.091743328
429.954,0.091755769
430.118,0.091771455
430.2843333,0.091788764
430.4563333,0.091804992
430.62,0.091820678
430.7883333,0.091834201
430.955,0.091848265
431.1196667,0.091862329
431.287,0.091876393
431.4566667,0.091893702
431.632,0.091909388
431.8016667,0.091924534
431.9726667,0.091941302
432.136,0.091955907
432.3046667,0.091971052
432.4736667,0.091986739
432.6516667,0.092001885
432.811,0.092021357
432.979,0.092041371
433.1456667,0.092060303
433.314,0.092084103
433.4833333,0.092104658
433.6576667,0.092124131
433.828,0.092142522
433.993,0.092157668
434.157,0.092174977
434.326,0.092190664
434.4953333,0.092205809
434.6586667,0.092219332
434.835,0.092235559
435.0063333,0.09225341
435.175,0.092272882
435.3396667,0.092293437
435.5043333,0.092315074
435.6743333,0.092334547
435.8456667,0.092353479
436.0153333,0.092372951
436.1776667,0.092391883
436.3466667,0.092412979
436.5146667,0.092435698
436.6896667,0.092457875
436.859,0.092480593
437.0273333,0.092501689
437.1976667,0.092521703
437.3646667,0.092544962
437.5323333,0.092567681
437.7016667,0.092590399
437.8673333,0.092612035
438.037,0.092629345
438.2003333,0.092649359
438.375,0.092670995
438.5426667,0.092693713
438.717,0.092710482
438.8813333,0.092732118
439.0526667,0.092751591
439.2213333,0.092770523
439.3853333,0.092788373
439.5576667,0.092806764
439.719,0.092828401
439.8926667,0.092850038
440.0603333,0.092871133
440.2293333,0.092894393
440.4043333,0.092917111
440.5686667,0.092939829
