EM_T (K),EM_((m0-m)/(m0-mf))
479.4096667,0.071034471
479.5803333,0.071069252
479.747,0.071104034
479.914,0.071142026
480.083,0.071177877
480.2463333,0.071213194
480.418,0.071249046
480.5943333,0.071289178
480.7556667,0.07132931
480.9303333,0.071367838
481.0973333,0.071405295
481.2643333,0.071447032
481.4366667,0.07148877
481.604,0.071531043
481.7736667,0.071574386
481.9443333,0.071617194
482.1056667,0.071657862
482.274,0.071697459
482.4416667,0.071738127
482.6106667,0.071778259
482.7793333,0.071821067
482.9453333,0.071863875
483.1136667,0.071907218
483.282,0.071953237
483.45,0.071999255
483.6196667,0.072045809
483.791,0.072089687
483.96,0.072132495
484.1293333,0.072175303
484.2956667,0.072217041
484.4656667,0.072260384
484.633,0.072299981
484.803,0.072342789
484.975,0.072387202
485.137,0.072431081
485.3066667,0.072478704
485.4763333,0.072526863
485.652,0.072575557
485.811,0.072625857
485.981,0.072678297
486.152,0.072728596
486.3216667,0.07277622
486.4913333,0.072822773
486.6563333,0.072870397
486.823,0.07291374
486.9933333,0.072959759
487.1586667,0.073008453
487.327,0.073053936
487.4983333,0.073104236
487.663,0.073155605
487.8313333,0.073206975
487.9996667,0.073259415
488.1696667,0.07331239
488.341,0.073365364
488.5123333,0.073416734
488.6783333,0.073470779
488.8503333,0.073525359
489.0193333,0.073580474
489.1853333,0.073637195
489.3543333,0.07369231
489.5253333,0.073747426
489.692,0.073802006
489.8576667,0.073856586
490.025,0.073910631
490.1986667,0.073966281
490.3686667,0.074020326
490.5323333,0.074074906
490.703,0.074131092
490.8693333,0.074187812
491.039,0.074244533
491.2083333,0.074302324
491.372,0.07436065
491.544,0.074421116
491.714,0.074482117
491.878,0.074545259
492.0463333,0.074610006
492.2183333,0.074674753
492.3876667,0.07473629
492.5546667,0.074798361
492.723,0.074860433
492.8916667,0.074919294
493.0613333,0.07497976
493.231,0.075042367
493.3946667,0.075106578
493.561,0.075172396
493.7336667,0.075238748
493.9013333,0.075306706
494.0723333,0.075374128
494.235,0.075442621
494.4096667,0.075510579
494.5796667,0.075578001
494.7486667,0.075645959
494.916,0.075712846
495.0856667,0.075781874
495.255,0.075851437
495.4213333,0.075921535
495.6003333,0.075993774
495.764,0.076064942
495.9326667,0.076135575
496.0993333,0.076205673
496.2673333,0.076276841
496.4363333,0.076348545
496.5986667,0.076419713
496.7676667,0.076491951
496.94,0.076565795
497.1136667,0.076640709
497.2813333,0.076715088
497.449,0.076790537
497.6176667,0.076869197
497.783,0.076946251
497.9473333,0.077025446
498.1203333,0.07710464
498.2933333,0.077185975
498.4593333,0.077267846
498.6323333,0.077349716
498.798,0.077431586
498.9676667,0.077514527
499.1386667,0.077598537
499.308,0.077682013
499.4736667,0.077766559
499.6403333,0.077851639
499.808,0.077937255
